facility_name,address,city,state,zip,county,lat,long,fractracker_status,purpose,operator_name,tenant,mw_capacity,size_rank,power_source,dedicated_power_plant,number_of_generators,number_of_buildings,cooling_source,cooling_type,facility_size_sqft,property_size_acres,project_cost,expected_date_online,community_pushback,advocacy_information,resistance_status,nda,echo_registry_id,echo_facility_name,echo_facility_street,echo_facility_city,echo_facility_state,echo_naics_codes,echo_sic_codes,AIR_FLAG,NPDES_FLAG,RCRA_FLAG,SDWIS_FLAG,GHG_FLAG,CAA_PERMIT_TYPES,CWA_PERMIT_TYPES,RCRA_PERMIT_TYPES,FAC_ACTIVE_FLAG,FAC_MAJOR_FLAG,echo_distance_miles,match_score,match_name_score,match_addr_score,match_naics_hit,match_sic_hit,matched_naics,matched_sic,echo_dfr_url,match_confidence,n_air_programs,earliest_air_program_begin,latest_air_program_begin,air_program_codes,air_operating_statuses,n_water_permits,earliest_water_orig_issue,earliest_water_issue,latest_water_issue,latest_water_expiration,latest_water_termination,water_permit_types,water_permit_statuses,water_permit_numbers,earliest_known_permit_date,n_llm_events,earliest_llm_event_date,latest_llm_event_date,llm_event_types,timeline_summary,mw_low,mw_high,mw_numeric_mid,process_start_date,process_start_event_type,first_approval_date,first_approval_event_type,first_approval_actor_level,days_to_first_approval,months_to_first_approval,last_event_date,total_observed_days,is_approved,is_terminated,terminal_outcome,is_censored
QTS,1033 Jefferson Street NW,Atlanta,GA,30318,Fulton,33.77595,-84.421074,Operating,,,,275,Hyperscale (100-999 MW),,,,,,,,100,,,Unknown,,,,110045488058,"QUALITY INVESTMENT PROPERTIES METRO, LLC",1033 JEFFERSON ST NW,ATLANTA,GA,518210,7376,Y,N,N,N,N,Major Emissions,,,Y,Y,0.06807865671499656,1.25,0.158,1.0,true,false,518210,,http://echo.epa.gov/detailed-facility-report?fid=110045488058,medium,4,2006-12-13,2019-10-04,CAANSPS|CAASIP|CAATVP|CAAMACT,Operating|Permanently Closed,0,,,,,,,,,2006-12-13,2,2006,2026-03-13,fully_operational|other,2006(year): fully_operational=n_a by QTS; 2026-03-13(day): other=n_a by QTS,275.0,275.0,275.0,2006-01-01,fully_operational,,,,,,2026-03-13,7376,False,False,pending,True
Viking Data Centers,428 Seiberling St,Akron ,OH,44306,Summit,41.050426,-81.4743,Operating,Crypto and AI,,,150-400,Hyperscale (100-999 MW),,,,,,,"380,000",,,,Unknown,,,,110000389320,"MAXIOM WHEELS, AKRON OPERATION (1677010157)",428 SEIBERLING STREET,AKRON,OH,336330 336320 336322 336399,3714,Y,N,Y,N,N,Minor Emissions,,Other,Y,,0.018606376786595876,1.0,0.237,1.0,false,false,,,http://echo.epa.gov/detailed-facility-report?fid=110000389320,low,3,2014-10-19,2015-03-09,CAATVP|CAASIP|CAAFESOP,Operating|Permanently Closed,0,,,,,,,,,2014-10-19,4,2025,2025,fully_operational|other|project_announced,2025(year): project_announced=n_a by Viking Data Centers; 2025(year): fully_operational=n_a by Viking Data Centers; 2025(year): other=n_a by Viking Data Centers; 2025(year): other=planned by Viking Data Centers,150.0,400.0,275.0,2025-01-01,project_announced,,,,,,2025-01-01,0,False,False,pending,True
QTS,159 Princeton-Hightstown Rd,East Windsor,NJ,8520,Mercer,40.275524,-74.5491,Operating,,,,14,Medium (11-50 MW),"Solar, Grid (unspecified mix)",,6,,Air,Closed loop,"553,930",194,,,Yes,,Organized Advocacy,,110037609950,S&P GLOBAL INC,148 PRINCETON-HIGHTSTOWN RD,EAST WINDSOR,NJ,51113 518210,7374,Y,N,Y,N,N,Minor Emissions,,LQG,Y,,0.42865047800050493,1.267,0.154,0.917,true,true,518210,7374,http://echo.epa.gov/detailed-facility-report?fid=110037609950,medium,1,2014-10-19,2014-10-19,CAASIP,Operating,0,,,,,,,,,2014-10-19,6,2024-11-19,2025-04,construction_started|fully_operational|other|partial_operational,2024-11-19(day): other=n_a by QTS Data Centers / East Windsor Township; 2024-11-19(day): construction_started=in_progress by QTS Data Centers; 2025(year): other=n_a by QTS Data Centers; 2025(year): other=n_a by QTS Data Centers; 2025-02(month): partial_operational=planned by QTS Data Centers; 2025-04(month): fully_operational=planned by QTS Data Centers,14.0,14.0,14.0,2024-11-19,other,,,,,,2025-04-01,133,False,False,pending,True
Revitalization Unlimited data center,304 W. 10th Street,Kansas City,MO,64105,Jackson,39.102562,-94.58718,Proposed,,,,30,Medium (11-50 MW),Natural gas,,,,,,"142,085",,,,Unknown,,,,110015866892,SPRINT COMMUNICATIONS-HOLMES,101 HOLMES,KANSAS CITY,MO,517121 517312 517110,4813,Y,N,Y,N,N,Minor Emissions,,Other,Y,,0.9025913624053612,0.85,0.5,0.333,true,true,517312,4813,http://echo.epa.gov/detailed-facility-report?fid=110015866892,low,3,2014-10-19,2014-10-19,CAANFRP|CAANSPS|CAASIP,Permanently Closed|Operating,0,,,,,,,,,2014-10-19,4,2026-01,2026-03-20,land_purchased|project_announced|public_hearing_held|special_use_permit_applied,2026-01(month): land_purchased=n_a by Revitalization Unlimited; 2026-01(month): project_announced=planned by Revitalization Unlimited; 2026-03(month): public_hearing_held=n_a by Kansas City Downtown Neighborhood Association; 2026-03-20(day): special_use_permit_applied=planned by Revitalization Unlimited,30.0,30.0,30.0,2026-01-01,land_purchased,,,,,,2026-03-20,78,False,False,pending,True
"""Project Taurus""",1565 High Tech Way,Colorado Springs,CO,,El Paso,38.893997,-104.85778,Proposed,,Raeden,,50,Medium (11-50 MW),,,,,,Closed loop,"451,217",22,,,Unknown,,,,110007076984,MCI TELECOMMUNICATIONS CORP,2424 GARDEN OF THE GODS RD,COLORADO SPRINGS,CO,517311 517111 517110,4813,Y,N,N,N,N,Minor Emissions,,,Y,,0.8498294647165195,0.67,0.32,0.27,true,true,517311,4813,http://echo.epa.gov/detailed-facility-report?fid=110007076984,low,2,2015-10-27,2022-11-10,CAAMACT|CAASIP,Operating,0,,,,,,,,,2015-10-27,2,2026-04-07,2026-04-07,project_announced|public_hearing_held,2026-04-07(day): project_announced=n_a by Raeden; 2026-04-07(day): public_hearing_held=planned by Raeden,50.0,50.0,50.0,2026-04-07,project_announced,,,,,,2026-04-07,0,False,False,pending,True
Project Marvel,Rock Mountain Lake Rd,Bessemer,AL,35022,Jefferson,33.342,-87.0341,Proposed,,Logistic Land Investments LLC,,1200,"Mega campus (>1,000 MW)",,,,18,,,"4,500,000",1600,$14 billion,2032,Yes,Bessemer Data Center - We Say No!,Organized Advocacy,"Bessemer Mayor Kenneth Gulley, the city attorney, and other city leaders signed NDAs",110069994837,GRACE LIFE BAPTIST CHURCH,5998 MOORE CEMETERY ROAD,MCCALLA,AL,236220,1542,N,Y,N,N,N,,Non-M,,Y,,0.9570657777019727,0.52,0.245,0.27,true,false,236220,,http://echo.epa.gov/detailed-facility-report?fid=110069994837,low,0,,,,,2,2016-10-04,2016-10-04,2021-04-01,2026-03-31,2022-04-05,GPC,ADC|TRM,ALR10BBDZ,2016-10-04,7,2025,2026-02,court_ruling|lawsuit_filed|rezoning_applied|rezoning_council_decision|rezoning_planning_commission_recommendation,2025(year): rezoning_applied=filed by Logistic Land Investments LLC; 2025-04-14(day): lawsuit_filed=filed by Bessemer residents; 2025-04-14(day): court_ruling=granted by Court; 2025-04-23(day): court_ruling=vacated by Court; 2025-11-18(day): rezoning_council_decision=approved by Bessemer City Council; 2026-01(month): rezoning_applied=filed by Logistic Land Investments LLC; 2026-02(month): rezoning_planning_commission_recommendation=in_progress by Bessemer Planning and Zoning Commission,1200.0,1200.0,1200.0,2025-01-01,rezoning_applied,2025-04-14,court_ruling,court,103,3.4,2026-02-01,396,True,True,denied,False
Western Hospitality Partners Data Center,Childersburg Industrial Park,Childersburg,AL,35044,Talladega,33.340885,-86.336205,Proposed,,,,500,Hyperscale (100-999 MW),,,,,,,,486,$6 billion,,Unknown,,,,110046320619,TALLADEGA/SHELBY WTP IMPROVEMENTS,COOSA INDUSTRIAL PARK,ALPINE,AL,,1629,N,Y,N,N,N,,Non-M,,,,0.9167447362602351,0.735,0.295,0.735,false,false,,,http://echo.epa.gov/detailed-facility-report?fid=110046320619,low,0,,,,,1,2012-06-29,2012-06-29,2012-06-29,2016-03-31,2020-03-13,GPC,TRM,ALR108440,2012-06-29,1,2025,2025,project_announced,2025(year): project_announced=planned by Western Hospitality Partners,500.0,500.0,500.0,2025-01-01,project_announced,,,,,,2025-01-01,0,False,False,pending,True
Meta Data Center,~1125 Hyundai Blvd,Montgomery,AL,36105,Montgomery,32.27604,-86.3287,Approved/Permitted/Under construction,,Meta,,100-200,Hyperscale (100-999 MW),Grid (unspecified mix),,,4,Water,Closed loop,"715,000",,$800 million,,Unknown,,,,110071709894,HOPE HULL SS LOOP-IN/LOOP-OUT,1125 HYUNDAI BLVD,MONTGOMERY,AL,237130 237990,1623 1629,N,Y,N,N,N,,Non-M,,Y,,0.5835259388949183,1.1,0.121,1.0,false,true,,1623,http://echo.epa.gov/detailed-facility-report?fid=110071709894,low,0,,,,,4,2024-05-02,2024-05-02,2026-03-05,2031-03-31,2025-12-10,GPC,EFF|TRM|ADC,ALR10C5WV|ALR10C57N,2024-05-02,3,2024-05,2026,construction_started|fully_operational|project_announced,2024-05(month): project_announced=n_a by Meta; 2024-05(month): construction_started=in_progress by Meta; 2026(year): fully_operational=planned by Meta,100.0,200.0,150.0,2024-05-01,project_announced,,,,,,2026-01-01,610,False,False,pending,True
Avaio Digital Leo,near I-530 and 145th St,Little Rock,AR,72206,Pulaski,34.618,-92.26808,Proposed,,Avaio Digital,,"150-1,000",Hyperscale (100-999 MW),Natural gas,,,,,,,760,$6 billion,2027,Yes,,,,110070884060,PETROCHOICE,2300 E 145TH STREET,LITTLE ROCK,AR,,,N,Y,N,N,N,,Non-M,,,,0.9328520106525242,0.533,0.143,0.533,false,false,,,http://echo.epa.gov/detailed-facility-report?fid=110070884060,low,0,,,,,1,,,,,,UFT,,ARU500257,,5,2026,2027-06,construction_started|fully_operational|other|power_purchase_agreement_signed|project_announced,2026(year): construction_started=planned by Avaio Digital Partners; 2026-01(month): power_purchase_agreement_signed=approved by Entergy Arkansas; 2026-01(month): other=n_a by Avaio Digital Partners; 2026-01-12(day): project_announced=n_a by Avaio Digital Partners; 2027-06(month): fully_operational=planned by Avaio Digital Partners,150.0,1000.0,575.0,2026-01-01,power_purchase_agreement_signed,2026-01-01,power_purchase_agreement_signed,utility,0,0.0,2027-06-01,516,True,False,approved,False
Prime Data Center,West Broadway Rd and S. Avondale Blvd,Avondale,AZ,85353,Maricopa,33.40756,-112.311,Approved/Permitted/Under construction,,Prime Data Centers,,210,Hyperscale (100-999 MW),,,,5,,,"1,300,000",66,$29 million,,Unknown,,,,110071849364,PRIME DATA CENTERS - PHX01,NO ADDRESS ON FILE,UNKNOWN,AZ,,,N,Y,N,N,N,,Non-M,,Y,,0.08118365935879367,0.857,0.857,0.41,false,false,,,http://echo.epa.gov/detailed-facility-report?fid=110071849364,medium,0,,,,,3,2024-10-01,2024-10-01,2025-09-25,2030-08-28,2024-11-05,GPC,ADC|TRM|EFF,AZC105980|AZC111998|AZC105579,2024-10-01,3,2023-04,2025,land_purchased|other|project_announced,2023-04(month): land_purchased=n_a by Prime Data Centers; 2023-05-04(day): project_announced=n_a by Prime Data Centers; 2025(year): other=planned by Prime Data Centers,210.0,210.0,210.0,2023-04-01,land_purchased,,,,,,2025-01-01,641,False,False,pending,True
Stream Data Center,2950 S Litchfield Rd,Goodyear,AZ,85338,Maricopa,33.41965,-112.35942,Approved/Permitted/Under construction,,Stream Data Centers,,200,Hyperscale (100-999 MW),,,,,,,"2,000,000",,,,Unknown,,,,110069446843,LORAL DEFENSE SYSTEMS ARIZONA,1300 S LITCHFIELD RD,GOODYEAR,AZ,541512 531120 336414,3663,N,Y,Y,N,N,,Non-M,Other,Y,,0.8973107751530865,1.05,0.229,0.8,true,false,"541512,531120",,http://echo.epa.gov/detailed-facility-report?fid=110069446843,low,0,,,,,4,1973-08-31,2008-03-14,2023-10-23,2028-10-22,,NPD,ADC|EXP|EFF,AZ0025747,1973-08-31,7,2019,2023-07,land_purchased|partial_operational|project_announced|rezoning_applied|rezoning_council_decision|rezoning_planning_commission_recommendation|site_plan_approved,2019(year): land_purchased=n_a by Stream Data Centers; 2020(year): project_announced=n_a by Stream Data Centers; 2023(year): site_plan_approved=approved by Maricopa County; 2023-07(month): rezoning_applied=filed by Stream Data Centers; 2023-07(month): rezoning_planning_commission_recommendation=recommended_approval by Goodyear Planning and Zoning Commission; 2023-07(month): rezoning_council_decision=planned by Goodyear City Council; 2023-07(month): partial_operational=n_a by Stream Data Centers,200.0,200.0,200.0,2019-01-01,land_purchased,2023-01-01,site_plan_approved,local,1461,48.0,2023-07-01,1642,True,False,approved,False
NTT Data Center,10256 Elliot Road,Mesa,AZ,85212,Maricopa,33.35061,-111.61,Operating,,,,240,Hyperscale (100-999 MW),,,,6,,,,102,,,Unknown,,,,110071358881,NTT PH1 DATA CENTER,10256 E ELLIOT RD,MESA,AZ,,,N,Y,N,N,N,,Non-M,,Y,,0.11214318129826958,1.0,0.6,1.0,false,false,,,http://echo.epa.gov/detailed-facility-report?fid=110071358881,medium,0,,,,,2,2022-11-18,2022-11-18,2025-10-31,2030-08-28,,GPC,EFF|ADC,AZCN96906|AZC113351,2022-11-18,8,2020-08,2026-01,fully_operational|land_purchased|other|project_announced,2020-08(month): project_announced=n_a by NTT Global Data Centers; 2021-07(month): other=n_a by NTT Global Data Centers; 2023-11(month): project_announced=planned by NTT Global Data Centers; 2024-09(month): other=approved by Mesa City Council; 2025(year): fully_operational=n_a by NTT Global Data Centers; 2025(year): other=planned by NTT Global Data Centers; 2025-03-28(day): land_purchased=n_a by NTT Global Data Centers; 2026-01(month): other=filed by NTT Global Data Centers,240.0,240.0,240.0,2020-08-01,project_announced,2024-09-01,other,local,1492,49.0,2026-01-01,1979,True,False,approved,False
NTT Data Center,22000-21794 E Pecos Rd,Mesa,AZ,85212,Maricopa,33.29556,-111.614,Approved/Permitted/Under construction,,NTT Global Data Centers,,200,Hyperscale (100-999 MW),,,,,,,,173,$300 million,,Unknown,,,,110071358881,NTT PH1 DATA CENTER,10256 E ELLIOT RD,MESA,AZ,,,N,Y,N,N,N,,Non-M,,Y,,0.11214318129826958,1.0,0.6,1.0,false,false,,,http://echo.epa.gov/detailed-facility-report?fid=110071358881,medium,0,,,,,2,2022-11-18,2022-11-18,2025-10-31,2030-08-28,,GPC,EFF|ADC,AZCN96906|AZC113351,2022-11-18,8,2020-08,2026-01,fully_operational|land_purchased|other|project_announced,2020-08(month): project_announced=n_a by NTT Global Data Centers; 2021-07(month): other=n_a by NTT Global Data Centers; 2023-11(month): project_announced=planned by NTT Global Data Centers; 2024-09(month): other=approved by Mesa City Council; 2025(year): fully_operational=n_a by NTT Global Data Centers; 2025(year): other=planned by NTT Global Data Centers; 2025-03-28(day): land_purchased=n_a by NTT Global Data Centers; 2026-01(month): other=filed by NTT Global Data Centers,200.0,200.0,200.0,2020-08-01,project_announced,2024-09-01,other,local,1492,49.0,2026-01-01,1979,True,False,approved,False
DEN1,7347 S. Revere Parkway Building C,Centennial,CO,80112,Arapahoe,39.58275,-104.841,Operating,,,,1.6,Small (0-10 MW),,,,,,,"32,000",,,,Unknown,,,,110071526903,DEN5 (DE),INTERSECTION OF EAST ARAPAHOE ROAD AND SOUTH JORDA,AURORA,CO,,1623,N,Y,N,N,N,,Non-M,,Y,,1.3664962774695415,0.645,0.545,0.214,false,true,,1623,http://echo.epa.gov/detailed-facility-report?fid=110071526903,low,0,,,,,2,2023-10-30,2023-10-30,2024-03-14,2029-03-31,,GPC,ADC|EFF,COR421924,2023-10-30,1,<UNKNOWN>,<UNKNOWN>,fully_operational,<UNKNOWN>(year): fully_operational=n_a by Expedient,1.6,1.6,1.6,,,,,,,,,,,,,
Data center,1780 Jet Stream Drive,Colorado Springs,CO,80921,El Paso,38.99734,-104.792,Operating,Colocation / enterprise data center,Flexential,,3,Small (0-10 MW),,,,,,,"14,613",,,,Unknown,,,,110055442427,L3 COMMUNICATIONS ATI,1830 JET STREAM DR,COLORADO SPRINGS,CO,33592,,N,Y,Y,N,N,,Non-M,VSQG,Y,,0.06333357988946003,0.933,0.323,0.933,false,false,,,http://echo.epa.gov/detailed-facility-report?fid=110055442427,low,0,,,,,1,2016-02-08,2016-02-08,2016-02-08,2021-02-10,2021-02-10,GPC,TRM,CONOX0473,2016-02-08,1,2024,2024,fully_operational,2024(year): fully_operational=n_a by Flexential,3.0,3.0,3.0,2024-01-01,fully_operational,,,,,,2024-01-01,0,False,False,pending,True
Starwood Digital Ventures,Governor Lea Rd,New Castle,DE,19720,New Castle,39.60745,-75.6397,Suspended,,,,1200,"Mega campus (>1,000 MW)",Oil/Diesel,,516,,,,"6,000,000",570,,,Unknown,,,,110045513994,"METACHEM PRODUCTS, LLC DELWARE",GOVERNOR LEA ROAD,DELAWARE CITY,DE,,2865,N,Y,N,N,N,,Non-M,,,,1.4909633237851334,1.0,0.4,1.0,false,false,,,http://echo.epa.gov/detailed-facility-report?fid=110045513994,low,0,,,,,1,1974-09-20,1998-07-01,1998-07-01,2003-06-30,2004-04-01,NPD,TRM,DE0020001,1974-09-20,8,2025,2028,appeals_court_ruling|conditional_use_permit_applied|construction_started|partial_operational|project_announced|project_suspended|state_environmental_review_decision,2025(year): state_environmental_review_decision=denied by Delaware environmental authority; 2025(year): appeals_court_ruling=n_a by Starwood Digital Ventures; 2025-07-11(day): project_announced=n_a by Starwood Digital Ventures; 2025-07-11(day): conditional_use_permit_applied=filed by Starwood Digital Ventures / New Castle Campus Development LLC; 2026(year): construction_started=planned by Starwood Digital Ventures; 2026-03-26(day): appeals_court_ruling=upheld by Delaware State Board; 2026-03-26(day): project_suspended=halted by Starwood Digital Ventures; 2028(year): partial_operational=planned by Starwood Digital Ventures,1200.0,1200.0,1200.0,2025-01-01,state_environmental_review_decision,2026-03-26,appeals_court_ruling,court,449,14.8,2028-01-01,1095,True,True,denied,False
Dixon Data Center/Project Sassy,Plainville Road and Ga-53,Adairsville,GA,30103,Floyd,34.37998,-85.034,Proposed,,Atlas Development,,200,Hyperscale (100-999 MW),,,,,,,"2,000,000",,,,Unknown,,,,110070229459,"SOIL WASTE AREA AND RELATED GRADING - E, S, & P C PLAN - WEST SITE (GP'S ENTERPR",ADAIRSVILLE ROAD NE (GA HWY 140),ROME,GA,236220,1542,N,Y,N,N,N,,Non-M,,Y,,0.7450220403950141,0.829,0.217,0.579,true,false,236220,,http://echo.epa.gov/detailed-facility-report?fid=110070229459,low,0,,,,,3,2013-09-24,2013-09-24,2023-08-01,2028-07-31,,GPC,EXP|EFF,GAR153C0D,2013-09-24,4,2025-01,2025-02-25,other|project_announced|rezoning_applied|rezoning_planning_commission_recommendation,2025-01(month): project_announced=n_a by Atlas Development; 2025-02(month): rezoning_applied=filed by Atlas Development; 2025-02(month): other=filed by Atlas Development; 2025-02-25(day): rezoning_planning_commission_recommendation=planned by Floyd County Planning Commission,200.0,200.0,200.0,2025-01-01,project_announced,,,,,,2025-02-25,55,False,False,pending,True
Project Springbank,Perkins Mountain Rd,Adairsville,GA,30145,Bartow,34.30926,-84.9633,Cancelled,,Atlas Development,,78,Large (51-99 MW),,,,6,,,"2,270,000",,$4.5 billion,,Yes,"Advocacy regarding Project Springbank in Adairsville, GA, centers on a successful community-led campaign that resulted in the developer, Atlas Development, withdrawing its rezoning application in May 2025. Despite the project being formally cancelled, local and statewide advocacy remains high to prevent similar developments from resurfacing.",,,110071884998,BARNSLEY RESORT INN EXPANSION,597 BARNSLEY GARDEN ROAD NW,ADAIRSVILLE,GA,237990 236220,1629 1542,N,Y,N,N,N,,Non-M,,Y,,1.1159726628187536,0.568,0.318,0.286,true,false,236220,,http://echo.epa.gov/detailed-facility-report?fid=110071884998,low,0,,,,,2,2023-08-01,2023-08-01,2023-08-01,2028-07-31,2025-08-26,GPC,TRM|EFF,GAR18B340|GAR18BC89,2023-08-01,3,2025,2025-02-17,other|project_announced|project_withdrawn,2025(year): project_withdrawn=withdrawn by Atlas Development LLC; 2025-02-17(day): other=filed by Atlas Development LLC; 2025-02-17(day): project_announced=n_a by Atlas Development LLC,78.0,78.0,78.0,2025-01-01,project_withdrawn,,,,,,2025-02-17,47,False,True,withdrawn,False
Alpharetta GA1,11650 Great Oaks Way,Alpharetta,GA,30022,Fulton,34.063183,-84.272896,Operating,,365 Data Centers,,4.300000191,Small (0-10 MW),,,,,,,"77,300",,,,Unknown,,,,110072156633,VOSS II- EXPANSION NETWORK DATA CENTER,11610 GREAT OAKS WAY,ALPHARETTA,GA,236220,,N,Y,N,N,N,,Non-M,,Y,,0.1612763606588027,1.188,0.333,0.938,true,false,236220,,http://echo.epa.gov/detailed-facility-report?fid=110072156633,medium,0,,,,,1,2008-08-01,2008-08-01,2008-08-01,2013-07-31,,GPC,EXP,GAR115837,2008-08-01,2,1999,1999,fully_operational|other,1999(year): fully_operational=n_a by 365 Data Centers; 1999(year): other=n_a by 365 Data Centers,4.300000191,4.300000191,4.300000191,1999-01-01,fully_operational,,,,,,1999-01-01,0,False,False,pending,True
Atlanta-Alpharetta,12655 Edison Dr,Alpharetta,GA,30005,Fulton,34.086994,-84.25179,Operating,,Flexential,,6,Small (0-10 MW),,,,,,,"139,474",,,,Unknown,,,,110071727007,FLEXENTIAL ATL 4 DATA CENTER,12655 EDISON DRIVE,ALPHARETTA,GA,236220,1542,N,Y,N,N,N,,Non-M,,Y,,0.010678526706689385,1.25,0.769,1.0,true,false,236220,,http://echo.epa.gov/detailed-facility-report?fid=110071727007,high,0,,,,,1,2013-09-24,2013-09-24,2013-09-24,2018-07-31,,GPC,EXP,GAR153F3C,2013-09-24,3,2017-08,2019,fully_operational|other,2017-08(month): other=n_a by Peak 10; 2018-01(month): other=n_a by Flexential; 2019(year): fully_operational=n_a by Flexential,6.0,6.0,6.0,2017-08-01,other,,,,,,2019-01-01,518,False,False,pending,True
ATL1,40 Perimeter Center E,Atlanta,GA,30346,DeKalb,33.926537,-84.32673,Operating,,Lincoln Rackhouse,,15,Medium (11-50 MW),,,,,,,"77,322",,,,Unknown,,,,110071255092,PERIMETER CENTER EAST PARK,50 PERIMETER CENTER EAST,DUNWOODY,GA,236220,1542,N,Y,N,N,N,,Non-M,,,,0.23387220366106728,1.197,0.244,0.947,true,false,236220,,http://echo.epa.gov/detailed-facility-report?fid=110071255092,medium,0,,,,,1,2018-08-01,2018-08-01,2018-08-01,2023-07-31,2023-05-08,GPC,TRM,GAR1898A6,2018-08-01,4,1999,2019,fully_operational|other,1999(year): fully_operational=n_a by Lincoln Rackhouse; 2001(year): other=n_a by Lincoln Rackhouse; 2017(year): other=n_a by Internap; 2019(year): other=n_a by Lincoln Rackhouse,15.0,15.0,15.0,1999-01-01,fully_operational,,,,,,2019-01-01,7305,False,False,pending,True
Atlanta Metro DC2,1025 Jefferson Street NW,Atlanta,GA,30318,Fulton,33.77647,-84.41955,Operating,,QTS Data Centers,,74.25,Large (51-99 MW),,,,,,,"495,000",,,,Unknown,,,,110070013121,QTS METRO SITE DEVELOPMENT,1025 JEFFERSON ST NW,ATLANTA,GA,236220,,N,Y,N,N,N,,Non-M,,Y,,0.06025035003565897,1.25,0.474,1.0,true,false,236220,,http://echo.epa.gov/detailed-facility-report?fid=110070013121,high,0,,,,,2,2013-09-23,2013-09-23,2013-09-23,2018-07-31,,GPC,EFF|EXP,GAR149885,2013-09-23,2,2025,2025,fully_operational|other,2025(year): fully_operational=n_a by QTS Data Centers; 2025(year): other=n_a by QTS Data Centers,74.25,74.25,74.25,2025-01-01,fully_operational,,,,,,2025-01-01,0,False,False,pending,True
CODA at Tech Sq (GA Tech High Performance Computing Center),771 Spring Street,Atlanta,GA,30308,Fulton,33.77551,-84.38868,Operating,,Georgia Tech Foundation,,13.94999981,Medium (11-50 MW),,,,,,,"93,000",,,,Unknown,,,,110071073726,1020 SPRING - OFFICE,1020 SPRING ST NW,ATLANTA,GA,236220 236115,1542 1521,N,Y,N,N,N,,Non-M,,Y,,0.4834904368473807,1.012,0.278,0.762,true,false,236220,,http://echo.epa.gov/detailed-facility-report?fid=110071073726,medium,0,,,,,2,2018-08-01,2018-08-01,2018-08-01,2023-07-31,,GPC,EXP,GAR18919A|GAR1894FC,2018-08-01,6,2016-03-28,2016-06-22,other|state_environmental_review_decision|state_environmental_review_initiated,"2016-03-28(day): other=in_progress by Georgia Department of Community Affairs (DCA); 2016-03-29(day): state_environmental_review_initiated=filed by Georgia Department of Community Affairs (DCA) / Atlanta Regional Commission; 2016-05-31(day): other=filed by Portman Holdings, LLC; 2016-06-06(day): other=approved by Atlanta Regional Commission; 2016-06-06(day): other=in_progress by Atlanta Regional Commission; 2016-06-22(day): state_environmental_review_decision=approved by Atlanta Regional Commission",13.94999981,13.94999981,13.94999981,2016-03-28,other,2016-06-06,other,state,70,2.3,2016-06-22,86,True,False,approved,False
DataBank ATL2 (West End),1100 White St SW,Atlanta,GA,30310,Fulton,33.733864,-84.425735,Operating,,DataBank,,4,Small (0-10 MW),,,,,,,"98,300",,,,Unknown,,,,110071156957,L+W FOOD HALL,1020 WHITE STREET,ATLANTA,GA,236220,1542,N,Y,N,N,N,,Non-M,,Y,,0.43087584294695946,1.15,0.286,0.9,true,false,236220,,http://echo.epa.gov/detailed-facility-report?fid=110071156957,medium,0,,,,,1,2018-08-01,2018-08-01,2018-08-01,2023-07-31,,GPC,EXP,GAR1894D7,2018-08-01,4,1962,2020-12,fully_operational|land_purchased|other,1962(year): other=n_a by unknown; 2014(year): other=n_a by Zayo (zColo); 2020-12(month): land_purchased=n_a by DataBank; 2020-12(month): fully_operational=n_a by DataBank,4.0,4.0,4.0,1962-01-01,other,,,,,,2020-12-01,21519,False,False,pending,True
DataBank ATL3 (West End),1150 White St SW,Atlanta,GA,30310,Fulton,33.73448,-84.4265,Operating,,DataBank,,6,Small (0-10 MW),,,,,,,,,,,Unknown,,,,110071156957,L+W FOOD HALL,1020 WHITE STREET,ATLANTA,GA,236220,1542,N,Y,N,N,N,,Non-M,,Y,,0.4897787474063532,1.05,0.286,0.8,true,false,236220,,http://echo.epa.gov/detailed-facility-report?fid=110071156957,medium,0,,,,,1,2018-08-01,2018-08-01,2018-08-01,2023-07-31,,GPC,EXP,GAR1894D7,2018-08-01,3,2021-12-15,2022-06,construction_started|fully_operational|project_announced,2021-12-15(day): project_announced=planned by DataBank; 2021-12-15(day): construction_started=in_progress by DataBank; 2022-06(month): fully_operational=planned by DataBank,6.0,6.0,6.0,2021-12-15,project_announced,,,,,,2022-06-01,168,False,False,pending,True
DataBank ATL4 (South Fulton),200 Selig Drive SW,Atlanta,GA,30336,Fulton,33.750492,-84.54815,Proposed,,DataBank,,40,Medium (11-50 MW),,,,,,,"212,710",,,,Unknown,,,,110071371065,200 SELIG DR,200 SELIG DRIVE SW,ATLANTA,GA,236210,1541,N,Y,N,N,N,,Non-M,,Y,,0.00636929228453943,1.0,0.158,1.0,false,false,,,http://echo.epa.gov/detailed-facility-report?fid=110071371065,low,0,,,,,3,2018-08-01,2018-08-01,2023-08-01,2028-07-31,,GPC,EXP|EFF,GAR18A280|GAR189FFE,2018-08-01,1,2024,2024,fully_operational,2024(year): fully_operational=n_a by DataBank,40.0,40.0,40.0,2024-01-01,fully_operational,,,,,,2024-01-01,0,False,False,pending,True
