project_facility_name,project_city,project_state,project_county,project_lat,project_long,project_status,project_mw,project_operator,event_type,event_subtype,decision,actor,actor_level,date,date_precision,source_url,source_quote
1547 Data Center: MCTX1,McAllen,TX,Hidalgo,26.20193,-98.2316,Operating,1.5-5,,fully_operational,existing facility operational prior to expansion,n_a,1547 Critical Systems Realty,developer,2025-08-06,day,https://www.mysanantonio.com/business/article/1547-mctx1-data-center-mcallen-20802823.php,"The current facility boasts 1.5 megawatts of power supplied through underground electricity lines, which are backed up by generators."
1547 Data Center: MCTX1,McAllen,TX,Hidalgo,26.20193,-98.2316,Operating,1.5-5,,other,renovation/expansion permit filed with state licensing authority,filed,Texas Department of Licensing and Regulation (TDLR),state,2025-08-06,day,https://www.mysanantonio.com/business/article/1547-mctx1-data-center-mcallen-20802823.php,"1547 is planning a $5.3 million renovation of the existing MCTX1 data center, according to TDLR records."
1547 Data Center: MCTX1,McAllen,TX,Hidalgo,26.20193,-98.2316,Operating,1.5-5,,construction_started,planned construction start for $5.3M expansion,planned,1547 Critical Systems Realty,developer,2025-08,month,https://www.mysanantonio.com/business/article/1547-mctx1-data-center-mcallen-20802823.php,"The renovation is slated to begin later this month and will expand the data center's footprint to nearly 24,000 square feet."
19508 Freedom Trail Road,Ashburn,VA,Loudoun,39.076466,-77.49912,Proposed,,JK Land Holdings,land_purchased,,n_a,JK Land Holdings,developer,2024-02-24,day,https://www.datacenterdynamics.com/en/news/jk-land-holdings-buys-108-acres-for-data-center-development-in-ashburn-virginia/,"JK Land Holdings has purchased 108 acres in Ashburn for data center developments for $180m... at 19508 Freedom Trail Road in Ashburn, Loudoun County"
19508 Freedom Trail Road,Ashburn,VA,Loudoun,39.076466,-77.49912,Proposed,,JK Land Holdings,project_announced,,in_progress,JK Land Holdings,developer,2024-02-24,day,https://www.datacenterdynamics.com/en/news/jk-land-holdings-buys-108-acres-for-data-center-development-in-ashburn-virginia/,"According to JK Land Holdings, the developer is 'in the early stages of working with the county on a development plan.'"
19508 Freedom Trail Road,Ashburn,VA,Loudoun,39.076466,-77.49912,Proposed,,JK Land Holdings,other,prior_site_plan_by_previous_owner,filed,Toll Brothers Inc.,developer,2024-02-24,day,https://www.datacenterdynamics.com/en/news/jk-land-holdings-buys-108-acres-for-data-center-development-in-ashburn-virginia/,Toll Brothers previously submitted a plan that would see two data centers spanning nearly 1.1 million sq ft developed on the site and a substation
19508 Freedom Trail Road,Ashburn,VA,Loudoun,39.076466,-77.49912,Proposed,,JK Land Holdings,moratorium_enacted,special_approval_requirement_for_Route_7_corridor,approved,Loudoun County Board of Supervisors,local,2023-12,month,https://www.datacenterdynamics.com/en/news/jk-land-holdings-buys-108-acres-for-data-center-development-in-ashburn-virginia/,"Since December 2023, all data centers in that zone require approval from supervisors to be developed."
21310 BEAUMEADE CIR,Ashburn,VA,Loudoun,39.01585,-77.45341,Operating,,BEAUMEADE DC BUILDING LLC,fully_operational,Facility listed as operating (labeled 'Storage Warehouse') on two parcels,n_a,BEAUMEADE DC BUILDING LLC,developer,2024,year,other_info,"Shown as 'Storage Warehouse', two parcels"
21455 Beaumeade Circle,Ashburn,VA,Loudoun,39.011536,-77.452644,Proposed,,Equinix,land_purchased,,n_a,American Real Estate Partners / Harrison Street,developer,2021-01-25,day,https://www.datacenterdynamics.com/en/news/american-real-estate-partners-buys-land-plans-data-center-northern-virginia/,"Virginia-based AREP has partnered with alternative real estate investment firm Harrison Street and aims to build a two-story, 265,000 sq ft 'powered shell' data center on a 10.3-acre site in Ashburn, Loudoun County. The firm reportedly paid $21.5 million for the site at Beaumeade Circle."
21455 Beaumeade Circle,Ashburn,VA,Loudoun,39.011536,-77.452644,Proposed,,Equinix,project_announced,,planned,American Real Estate Partners / Harrison Street,developer,2021-01-25,day,https://www.datacenterdynamics.com/en/news/american-real-estate-partners-buys-land-plans-data-center-northern-virginia/,American Real Estate Partners (AREP) has acquired land and plans to build a new data center in Northern Virginia's data center alley.
21455 Beaumeade Circle,Ashburn,VA,Loudoun,39.011536,-77.452644,Proposed,,Equinix,construction_started,construction start planned for 2021,planned,American Real Estate Partners / Harrison Street,developer,2021,year,https://www.datacenterdynamics.com/en/news/american-real-estate-partners-buys-land-plans-data-center-northern-virginia/,construction to due to start later this year.
21641 CHARLES VIEW DR,Sterling,VA,Loudoun,39.017963,-77.43968,Operating,,Amazon,other,facility_classification,n_a,Amazon,developer,<UNKNOWN>,year,other_info,"Shown as ""Storage Warehouse"""
21673 BEAUMEADE CIRCLE LLC,Ashburn,VA,Loudoun,39.019413,-77.45795,Expanding,,Cologix,land_purchased,,n_a,Cologix,developer,2018-07,month,https://baxtel.com/data-center/cologix-ashburn-ash1,"The company bought the site for $38 million, or $1.68 million per acre, from the Christian Fellowship Church in late July 2018."
21673 BEAUMEADE CIRCLE LLC,Ashburn,VA,Loudoun,39.019413,-77.45795,Expanding,,Cologix,fully_operational,,n_a,Cologix,developer,2023,year,https://baxtel.com/data-center/cologix-ashburn-ash1,Fully operational facility ... Year Built: 2023
21673 BEAUMEADE CIRCLE LLC,Ashburn,VA,Loudoun,39.019413,-77.45795,Expanding,,Cologix,other,major_lease_signed,n_a,Cologix,developer,2023-06,month,https://baxtel.com/data-center/cologix-ashburn-ash1,"In June 2023, Cologix announced it had leased 455,000 sqft to a major global technology company at the site."
21673 BEAUMEADE CIRCLE LLC,Ashburn,VA,Loudoun,39.019413,-77.45795,Expanding,,Cologix,project_announced,,n_a,Cologix,developer,2018,year,other_info,Expansion of 21673 BEAUMEADE CIRCLE LLC
21745 BEAUMEADE CIR,Ashburn,VA,Loudoun,39.018513,-77.4589,Operating,,21673 BEAUMEADE CIRCLE LLC,land_purchased,,n_a,Cologix (21673 Beaumeade Circle LLC),developer,2018,year,https://www.datacenterdynamics.com/en/news/cologix-acquires-land-in-ashburn-virginia-for-data-center/,"Work on the three-story data center started in 2020, having bought the former church site in 2018."
21745 BEAUMEADE CIR,Ashburn,VA,Loudoun,39.018513,-77.4589,Operating,,21673 BEAUMEADE CIRCLE LLC,construction_started,,n_a,Cologix (21673 Beaumeade Circle LLC),developer,2020,year,https://www.datacenterdynamics.com/en/news/cologix-acquires-land-in-ashburn-virginia-for-data-center/,"Work on the three-story data center started in 2020, having bought the former church site in 2018."
21745 BEAUMEADE CIR,Ashburn,VA,Loudoun,39.018513,-77.4589,Operating,,21673 BEAUMEADE CIRCLE LLC,fully_operational,,n_a,Cologix (21673 Beaumeade Circle LLC),developer,2023,year,https://www.datacenterdynamics.com/en/news/cologix-acquires-land-in-ashburn-virginia-for-data-center/,It was completed in 2023.
21821 UUNET DR,Ashburn,VA,Loudoun,39.010254,-77.474976,Operating,,Aligned Data Centers,fully_operational,Operating status noted in FracTracker; no specific operational date available,n_a,Aligned Data Centers,developer,<UNKNOWN>,year,other_info,Computer Center
22350 KIPPER DR AWS,Sterling,VA,Loudoun,38.99509,-77.43511,Operating,,Amazon,fully_operational,Facility listed as operating (FracTracker status: Operating),n_a,Amazon,developer,2024,year,other_info,"Shown as ""Storage Warehouse"""
22370 KIPPER DR AWS,Sterling,VA,Loudoun,38.996964,-77.43581,Operating,,Amazon,fully_operational,FracTracker status label is 'Operating'; facility listed as Storage Warehouse,n_a,Amazon,developer,2024,year,other_info,"Shown as ""Storage Warehouse"""
22660 Executive Dr Prologis,Sterling,VA,Loudoun,38.989754,-77.44206,Proposed,,Prologis,rezoning_applied,,filed,Prologis,developer,2023-10,month,https://www.datacenterdynamics.com/en/news/prologis-seeks-rezoning-of-land-sterling-virginia-possibly-for-data-centers/,BizJournal reports the logistics real estate investment trust has filed two early-stage development applications with Loudoun County to rezone two parcels of land
22660 Executive Dr Prologis,Sterling,VA,Loudoun,38.989754,-77.44206,Proposed,,Prologis,project_announced,,n_a,Prologis,developer,2023-10-26,day,https://www.datacenterdynamics.com/en/news/prologis-seeks-rezoning-of-land-sterling-virginia-possibly-for-data-centers/,"Prologis seeks rezoning of land Sterling, Virginia, possibly for data centers... October 26, 2023"
22945 INTERNATIONAL DR AWS,Sterling,VA,Loudoun,38.98216,-77.42751,Operating,,Amazon,fully_operational,Facility listed as operating; classified as Storage Warehouse in parcel records,n_a,Amazon,developer,<UNKNOWN>,year,other_info,"Shown as ""Storage Warehouse"""
23005 INTERNATIONAL DR,Sterling,VA,Loudoun,38.98,-77.42562,Operating,,DULLES NCP II LLC,fully_operational,facility listed as operating (described as Storage Warehouse in FracTracker),n_a,DULLES NCP II LLC,developer,<UNKNOWN>,year,other_info,"Shown as ""Storage Warehouse"""
24244 QUAIL RIDGE LN,Aldie,VA,Loudoun,38.94905,-77.56043,Operating,,Amazon,fully_operational,Facility listed as Operating by FracTracker,n_a,Amazon,developer,<UNKNOWN>,year,other_info,Computer Center
350 Main Street (H5 Data Centers BU1),Buffalo,NY,Erie,42.88409,-78.875725,Operating,1,,fully_operational,Facility listed as operational colocation site under H5 Data Centers brand,n_a,H5 Data Centers,developer,2026-02-03,day,https://www.datacenterdynamics.com/en/news/h5-and-novacap-launch-new-data-center-platform-acquire-three-carrier-hotels-from-365/,"On its website, H5 now lists Buffalo III, a 19,000 sq ft (1,765 sqm) facility located in the Main Place Tower at 350 Main Street."
350 Main Street (H5 Data Centers BU1),Buffalo,NY,Erie,42.88409,-78.875725,Operating,1,,land_purchased,Acquisition of 350 Main Street carrier hotel from 365 Data Centers by HyscaleIX JV,approved,H5 Data Centers / HyscaleIX Data Centers,developer,2026-02-03,day,https://www.datacenterdynamics.com/en/news/h5-and-novacap-launch-new-data-center-platform-acquire-three-carrier-hotels-from-365/,Investment firm Novacap and H5 Data Centers have launched a new data center venture and acquired three carrier hotels in the US from 365... sites were likely 350 Main Street in Buffalo
350 Main Street (H5 Data Centers BU1),Buffalo,NY,Erie,42.88409,-78.875725,Operating,1,,project_announced,"Formation of HyscaleIX Data Centers JV announced, anchored by Buffalo facility",n_a,H5 Data Centers / Novacap,developer,2026-02-03,day,https://www.datacenterdynamics.com/en/news/h5-and-novacap-launch-new-data-center-platform-acquire-three-carrier-hotels-from-365/,"The companies this week announced the formation of HyscaleIX Data Centers, a joint venture focused on 'acquiring and operating mission-critical carrier hotels' throughout North America."
365 Data Centers Philadelphia (Downtown) Data Center,Philadelphia,PA,Philadelphia,39.962574,-75.16374,Operating,10,365 Data Centers,fully_operational,,n_a,365 Data Centers,developer,<UNKNOWN>,year,https://365datacenters.com/philadelphia-data-center-2/,365 Data Centers' Philadelphia (Downtown) Data Center...located at 1500 Spring Garden St....10MW of power for Data Center
365 Data Centers Philadelphia (University City) Data Center,Philadephia,PA,Philadelphia,39.956966,-75.19623,Operating,,365 Data Centers,fully_operational,,n_a,365 Data Centers,developer,<UNKNOWN>,year,https://365datacenters.com/philadelphia-data-center/,"365 Data Centers' Philadelphia (University City) Data Center...located in the Penn Medicine Science Center, is part of the West Philadelphia neighborhood known as University City"
42139 REEDS FARM LN,Stone Ridge,VA,Loudoun,38.944927,-77.549866,Proposed,,Amazon,project_announced,"Project status listed as Proposed by FracTracker; operator is Amazon in Stone Ridge, VA (Loudoun County)",planned,Amazon,developer,2024,year,other_info,This project covers multiple parcels. The total acreage is represented here.
43831 DEVIN SHAFRON DR,Ashburn,VA,Loudoun,39.002693,-77.485344,Operating,,Digital Realty,fully_operational,Facility listed as operating by FracTracker,n_a,Digital Realty,developer,2024,year,other_info,STATUS (FracTracker label): Operating
44470 Chilum Place,Ashburn,VA,Loudoun,39.02221,-77.46144,Operating,,Equinix,fully_operational,Facility listed as operating per FracTracker; parcel record unavailable due to site maintenance,n_a,Equinix,developer,2024,year,other_info,"Shown as ""Storage Warehouse"""
44490 CHILUM PL,Ashburn,VA,Loudoun,39.02134,-77.4583,Operating,,BLUE SLING ACC 2 LLC,fully_operational,Facility listed as Operating status by FracTracker; no specific operational date available,n_a,BLUE SLING ACC 2 LLC,developer,<UNKNOWN>,year,other_info,Computer Center
44520 HASTINGS DR,Ashburn,VA,Loudoun,39.019936,-77.45989,Operating,,QUILL EQUITY LLC,fully_operational,facility described as operating computer center,n_a,QUILL EQUITY LLC,developer,<UNKNOWN>,year,other_info,Computer Center
44621 WAXPOOL RD,Ashburn,VA,Loudoun,39.01214,-77.46291,Operating,,KAVEH VENTURES LLC,fully_operational,Operating status noted; facility described as a Computer Center,n_a,KAVEH VENTURES LLC,developer,<UNKNOWN>,year,other_info,Computer Center
44790 PERFORMANCE CIR,Ashburn,VA,Loudoun,39.02357,-77.450905,Operating,,Equinix,fully_operational,Facility listed as Operating (FracTracker status label),n_a,Equinix,developer,2024,year,other_info,Computer Center
45845 NOKES BLVD,Sterling,VA,Loudoun,39.02387,-77.41527,Operating,,MEDINA DC 2 ASSETS LLC,fully_operational,,n_a,Cyxtera (MEDINA DC 2 ASSETS LLC),developer,2024,year,https://cloudandcolocation.com/datacenters/cyxtera-sterling-data-center-iad1-b/,"Cyxtera's Sterling data center located at 45845 Nokes Blvd. in Sterling, VA is designed to meet the stringent demands of enterprise customers."
6200 TECHNOLOGY BLVD,Sandston,VA,Henrico,37.48185,-77.236465,Operating,,Meta,fully_operational,Operating status noted by FracTracker; no date available in source,n_a,Meta,developer,<UNKNOWN>,year,other_info,square footage may be underreported
75 South Data Center Campus ,Griffin,GA,Spalding,33.256115,-84.14383,Proposed,,,project_announced,,n_a,"Industrial VI Enterprises, LLC (Hillwood affiliate)",developer,2026-01-30,day,https://www.datacenterdynamics.com/en/news/hillwood-affiliate-files-to-develop-22-million-sq-ft-data-center-campus-outside-atlanta-georgia/,"Hillwood affiliate files to develop 2.2 million sq ft data center campus outside Atlanta, Georgia ... January 30, 2026"
75 South Data Center Campus ,Griffin,GA,Spalding,33.256115,-84.14383,Proposed,,,state_environmental_review_initiated,Development of Regional Impact (DRI) application filed with Georgia DCA,filed,Georgia Department of Community Affairs,state,2026-01,month,https://www.datacenterdynamics.com/en/news/hillwood-affiliate-files-to-develop-22-million-sq-ft-data-center-campus-outside-atlanta-georgia/,A Development of Regional Impact application has been filed with the Georgia Department of Community Affairs for a data center campus in Spalding County
75 South Data Center Campus ,Griffin,GA,Spalding,33.256115,-84.14383,Proposed,,,rezoning_applied,,filed,"Industrial VI Enterprises, LLC / Spalding County",local,2026-01,month,https://apps.dca.ga.gov/DRI/InitialForm.aspx?driid=4607,The action being requested of the local government for this project: Rezoning
75 South Data Center Campus ,Griffin,GA,Spalding,33.256115,-84.14383,Proposed,,,water_permit_applied,,filed,Spalding County Water Authority,local,2026-01,month,https://www.datacenterdynamics.com/en/news/hillwood-affiliate-files-to-develop-22-million-sq-ft-data-center-campus-outside-atlanta-georgia/,"An application has also been made to the Spalding County Water Authority for the development, but few details have been published."
75 South Data Center Campus ,Griffin,GA,Spalding,33.256115,-84.14383,Proposed,,,other,Georgia Power substation adjacent to site,n_a,Georgia Power,utility,2026,year,other_info,GA Power substation adjacent to data center site
9001 Hornbaker Rd,Manassas,VA,Prince William,38.762554,-77.53385,Proposed,,,land_purchased,,n_a,MJV Associates LLC,developer,2023-11-06,day,https://pwc.publicaccessnow.com/PropertyDetail.aspx?mtab=property&mpropertynumber=114479,2023/11/06 $0 MJV ASSOCIATES LLC XG 202311060057566
9Lives (Globe Digital Holdings),Niagara Falls,NY,Erie,43.12389,-79.04118,Proposed,600,,project_announced,,n_a,9 Lives Digital Group (9LDG),developer,2024-08-21,day,https://www.datacenterdynamics.com/en/news/9ldg-plans-ai-data-center-at-niagara-falls,"9 Lives Digital Group (9LDG) has acquired a former Globe Metallurgy property for an AI data center development in Niagara Falls, New York State."
9Lives (Globe Digital Holdings),Niagara Falls,NY,Erie,43.12389,-79.04118,Proposed,600,,land_purchased,,n_a,9 Lives Digital Group (9LDG),developer,2024-07-16,day,https://www.datacenterdynamics.com/en/news/9ldg-plans-ai-data-center-at-niagara-falls,"The sale closed on July 16, with a transfer tax of $12,000 making the approximate sale price around $3 million."
9Lives (Globe Digital Holdings),Niagara Falls,NY,Erie,43.12389,-79.04118,Proposed,600,,construction_started,Construction planned within 18–24 months of announcement,planned,9 Lives Digital Group (9LDG),developer,2024-08-21,day,https://www.datacenterdynamics.com/en/news/9ldg-plans-ai-data-center-at-niagara-falls,"construction on the data center is planned for the next 18 to 24 months, while warehouse and office space on the other side of the site will be leased out."
Aberdeen Data Center,Aberdeen,OH,Adams,38.638145,-83.69277,Proposed,400-1100,,project_announced,,n_a,AES Ohio,utility,2026-02,month,https://www.datacenterdynamics.com/en/news/new-data-center-construction-confirmed-in-adams-county-ohio/,following unconfirmed reports in February
Aberdeen Data Center,Aberdeen,OH,Adams,38.638145,-83.69277,Proposed,400-1100,,other,regulatory_load_filing,filed,AES Ohio,utility,2026-03,month,https://www.datacenterdynamics.com/en/news/new-data-center-construction-confirmed-in-adams-county-ohio/,"According to a regulatory filing from AES Ohio, the operator of the proposed facility has requested a new electricity load of 100MW in 2028, increasing to 1.3GW by 2032."
Aberdeen Data Center,Aberdeen,OH,Adams,38.638145,-83.69277,Proposed,400-1100,,USACE_404_issued,,approved,US Army Corps of Engineers,federal,2026-03,month,https://www.datacenterdynamics.com/en/news/new-data-center-construction-confirmed-in-adams-county-ohio/,"Since the filing, the US Army Corps of Engineers has issued a permit to enable construction of the project. The permit includes conditions to protect local endangered species and a buffer zone"
Aberdeen Data Center,Aberdeen,OH,Adams,38.638145,-83.69277,Proposed,400-1100,,construction_started,planned initial load 100MW in 2028,planned,unknown,developer,2028,year,https://www.datacenterdynamics.com/en/news/new-data-center-construction-confirmed-in-adams-county-ohio/,"The facility will start with an initial 100MW in 2028, increasing to 1.3GW by 2032"
Aberdeen Data Center,Aberdeen,OH,Adams,38.638145,-83.69277,Proposed,400-1100,,other,local_opposition_petition,n_a,Adams County residents,local,2026-03,month,https://www.datacenterdynamics.com/en/news/new-data-center-construction-confirmed-in-adams-county-ohio/,Local petitions have called for a constitutional amendment to ban data centers statewide and to establish rural zoning rules in Adams County to make data centers harder to build.
Aberdeen Data Center,Aberdeen,OH,Adams,38.638145,-83.69277,Proposed,400-1100,,other,energy_consumption_projection,n_a,WCPO-TV,other,2026-03,month,other_info,"Could reach 11.4 million megawatt hours annually by 2032, 31 times Adams County's 2025 consumption of 366"
ABTEEN VENTURES LLC (CloudHQ),Manassas,VA,Prince William,38.716854,-77.49974,Operating,,ABTEEN VENTURES LLC (CloudHQ),land_purchased,,n_a,ABTEEN VENTURES LLC,developer,2016-05-20,day,https://pwc.publicaccessnow.com/PropertyDetail.aspx?mpropertynumber=257650&mtab=property&p=257650,2016/05/20 $0 ABTEEN VENTURES LLC XG 201605200037724
ACC11 Digital Realty,Ashburn,VA,Loudoun,39.014893,-77.46363,Expanding,,Digital Realty,site_plan_applied,Site plan record found in Loudoun County EnerGov portal; no date or decision detail extractable from page content,filed,Digital Realty,developer,<UNKNOWN>,year,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/72E98EAA-F26D-4639-B064-77C8BF2DFEA6?tab=attachments,SelfService Public Site ... Welcome to portal home
ACC4 Digital Realty,Ashburn,VA,Loudoun,39.017944,-77.46266,Expanding,,Digital Realty,other,facility_identified_as_computer_center,n_a,Digital Realty,developer,2024,year,other_info,Computer Center
ACC5 ACC6 Digital Realty,Ashburn,VA,Loudoun,39.020702,-77.46347,Operating,,FOX PROPERTIES LLC,fully_operational,Operating status noted in FracTracker narrative; no specific date available,n_a,FOX PROPERTIES LLC,developer,<UNKNOWN>,year,other_info,Computer Center
ACC7 Digital Realty,Ashburn,VA,Loudoun,39.01753,-77.465675,Operating,,ALSHAIN VENTURES LLC,fully_operational,facility operating as a data center (computer center) per FracTracker status label 'Operating',n_a,ALSHAIN VENTURES LLC,developer,<UNKNOWN>,year,other_info,Computer Center
Accokeek Center,Stafford,VA,Stafford,38.403713,-77.427,Proposed,,,rezoning_applied,Reclassification/rezoning application with Generalized Development Plan submitted December 2024,filed,Stafford County Planning and Zoning,local,2024-12,month,https://cdn.staffordcountyva.gov/Planning%20and%20Zoning/Development%20Review%20Meetings-Applications/December%202024/Accokeek%20Reclass/4-%20%20Generalized%20Development%20Plan%20(GDP)%20-%20Accokeek%20Center.pdf,December 2024/Accokeek Reclass/4- Generalized Development Plan (GDP) - Accokeek Center
Accokeek Center,Stafford,VA,Stafford,38.403713,-77.427,Proposed,,,land_purchased,,n_a,Falmouth Tech LLC,developer,2025-06-16,day,https://va-stafford-assessor.publicaccessnow.com/PropertySearch/PropertyDetails.aspx?p=38%20%20%20%20%20%20%20%2096&a=23952,"250007569 6/16/2025 A I INC FALMOUTH TECH LLC S Yes $11,757,500"
Adair Park / West End Data Center,Atlanta,GA,Fulton,33.739025,-84.41105,Proposed,,Digital Realty,other,city_council_legislation_passed_restricting_data_centers_near_transit,approved,Atlanta City Council,local,2024,year,https://www.yahoo.com/news/articles/data-center-atlanta-thought-dead-203000461.html,"After the Atlanta City Council passed legislation in 2024 limiting data centers near transit hubs, a site-specific exception was introduced to allow a data center to be built near the West End MARTA station."
Adair Park / West End Data Center,Atlanta,GA,Fulton,33.739025,-84.41105,Proposed,,Digital Realty,rezoning_applied,site_specific_exception_to_transit_hub_data_center_restriction,filed,Digital Realty,developer,2024,year,https://www.yahoo.com/news/articles/data-center-atlanta-thought-dead-203000461.html,a site-specific exception was introduced to allow a data center to be built near the West End MARTA station.
Adair Park / West End Data Center,Atlanta,GA,Fulton,33.739025,-84.41105,Proposed,,Digital Realty,rezoning_council_decision,first_site_specific_exception_vote_defeated,denied,Atlanta City Council,local,2024,year,https://www.yahoo.com/news/articles/data-center-atlanta-thought-dead-203000461.html,"Ultimately the proposal was defeated after opposition from residents in Adair Park, neighborhood planning units, and an intervention by Mayor Andre Dickens."
Adair Park / West End Data Center,Atlanta,GA,Fulton,33.739025,-84.41105,Proposed,,Digital Realty,public_hearing_held,Pittsburgh Neighborhood Association community meeting on data center proposal,n_a,Pittsburgh Neighborhood Association,local,2024-12,month,https://www.yahoo.com/news/articles/data-center-atlanta-thought-dead-203000461.html,Residents discuss a data center proposal coming to southwest Atlanta at a Pittsburgh Neighborhood Association meeting in December.
Adair Park / West End Data Center,Atlanta,GA,Fulton,33.739025,-84.41105,Proposed,,Digital Realty,rezoning_applied,revised_site_specific_exception_reintroduced_to_city_council,filed,Digital Realty,developer,2025-03,month,https://www.yahoo.com/news/articles/data-center-atlanta-thought-dead-203000461.html,"a revised version of the same proposal, which now includes new requirements for the project, was picked up by the City Council last month and will need to be voted on once again."
Adams Fork Harless Data Center,Holden,WV,Mingo,37.75417,-82.1179,Proposed,2398.5,"TransGas Development, LLC",project_announced,,n_a,"TransGas Development, LLC",developer,2023,year,https://ohiorivervalleyinstitute.org/adams-fork-is-a-giant-waste-of-energy/,"the site remained dormant for over a decade until 2023, when TransGas announced new plans to build a massive ammonia plant fueled by natural gas."
Adams Fork Harless Data Center,Holden,WV,Mingo,37.75417,-82.1179,Proposed,2398.5,"TransGas Development, LLC",air_permit_issued,,approved,WV Department of Environmental Protection – Division of Air Quality,state,2025-10,month,https://ohiorivervalleyinstitute.org/adams-fork-is-a-giant-waste-of-energy/,"Second, two October 2025 permits to build identical data center campuses outside of Wharncliffe, one at the former Twisted Gun Golf Course and one at the Harless Industrial Park."
Adams Fork Harless Data Center,Holden,WV,Mingo,37.75417,-82.1179,Proposed,2398.5,"TransGas Development, LLC",other,expansion_plan_announced,planned,"TransGas Development Systems, LLC",developer,2025-05,month,other_info,"In a May 2025 presentation posted to their website, parent company TransGas Development Systems, LLC stated that it plans to expand data center capacity between this site and it's sister site to 9.8 GW."
Adams Fork Wharncliffe Data Center,Wharncliffe,WV,Mingo,37.59904,-81.9545,Proposed,2398.5,"TransGas Development, LLC",project_announced,,n_a,"TransGas Development Systems, LLC",developer,2023,year,https://ohiorivervalleyinstitute.org/adams-fork-energy-whats-happening-with-the-worlds-largest-proposed-ammonia-plant/,"in 2023, TransGas announced new plans for the same location — an ammonia plant called Adams Fork Energy."
