facility_name,city,state,county,lat,long,status,mw,operator_name,n_llm_events,earliest_llm_event_date,latest_llm_event_date,llm_event_types,timeline_summary
Data center,Little Rock,AR,Pulaski,34.71681,-92.1737,Proposed,,Willowbend Capital LLC,3,2025-05-02,2025-05-02,other|project_announced,2025-05-02(day): project_announced=n_a by Willowbend Capital LLC; 2025-05-02(day): other=approved by Little Rock Board of Directors; 2025-05-02(day): other=approved by Little Rock Board of Directors
Brightspeed Data Center,Russellville,AR,Pope,35.27746,-93.1372,Operating,,,3,2000,2025-04-09,fully_operational|other,2000(year): fully_operational=n_a by Brightspeed; 2021(year): other=n_a by Apollo Global Management / Brightspeed; 2025-04-09(day): other=in_progress by Cushman & Wakefield / Sage Partners
Groot LLC/ Google,West Memphis/Proctor,AR,Crittenden,35.11835,-90.2123,Approved/Permitted/Under construction,,Google,3,2025-05,2025-05-20,other|project_announced|rezoning_council_decision,2025-05(month): rezoning_council_decision=approved by West Memphis City Council; 2025-05(month): other=approved by City of West Memphis; 2025-05-20(day): project_announced=n_a by City of West Memphis / Mayor Marco McClendon
Prime Data Center,Avondale,AZ,Maricopa,33.40756,-112.311,Approved/Permitted/Under construction,210,Prime Data Centers,3,2023-04,2025,land_purchased|other|project_announced,2023-04(month): land_purchased=n_a by Prime Data Centers; 2023-05-04(day): project_announced=n_a by Prime Data Centers; 2025(year): other=planned by Prime Data Centers
H5 Data Center,Chandler,AZ,Maricopa,33.27716,-111.886,Operating,32,H5 Data Centers,2,2023-06-30,2023-06-30,other|project_announced,2023-06-30(day): project_announced=n_a by H5 Data Centers; 2023-06-30(day): other=n_a by H5 Data Centers
Compass Data Center,Goodyear,AZ,Maricopa,33.44123,-112.377,Approved/Permitted/Under construction,,Compass Data Centers,4,2019-01,2019-07-10,construction_started|land_purchased|project_announced|rezoning_council_decision,2019-01(month): land_purchased=n_a by Compass Datacenters; 2019-03(month): rezoning_council_decision=approved by City of Goodyear; 2019-07(month): construction_started=n_a by Compass Datacenters; 2019-07-10(day): project_announced=n_a by Compass Datacenters
Microsoft Data Center,Goodyear,AZ,Maricopa,33.410748,-112.36683,Operating,,Microsoft,0,,,,
Stream Data Center,Goodyear,AZ,Maricopa,33.41965,-112.35942,Approved/Permitted/Under construction,200,Stream Data Centers,7,2019,2023-07,land_purchased|partial_operational|project_announced|rezoning_applied|rezoning_council_decision|rezoning_planning_commission_recommendation|site_plan_approved,2019(year): land_purchased=n_a by Stream Data Centers; 2020(year): project_announced=n_a by Stream Data Centers; 2023(year): site_plan_approved=approved by Maricopa County; 2023-07(month): rezoning_applied=filed by Stream Data Centers; 2023-07(month): rezoning_planning_commission_recommendation=recommended_approval by Goodyear Planning and Zoning Commission; 2023-07(month): rezoning_council_decision=planned by Goodyear City Council; 2023-07(month): partial_operational=n_a by Stream Data Centers
Vantage Data Center,Goodyear,AZ,Maricopa,33.44718,-112.373,Approved/Permitted/Under construction,176,Vantage Data Centers,7,2019,2024,construction_started|land_purchased|other|partial_operational,2019(year): land_purchased=n_a by Vantage Data Centers; 2019(year): construction_started=n_a by Vantage Data Centers; 2021-11-24(day): other=n_a by Vantage Data Centers; 2022(year): partial_operational=planned by Vantage Data Centers; 2023(year): other=granted by OSHA; 2023-07-06(day): other=n_a by Vantage Data Centers; 2024(year): partial_operational=planned by Vantage Data Centers
Project Blue (version 2),Marana,AZ,Pima,32.4929,-111.28652,Proposed,250-600,Beale Infrastructure,10,2024,2025-01-07,land_purchased|lawsuit_filed|other|public_hearing_held|rezoning_council_decision|rezoning_planning_commission_recommendation,2024(year): other=approved by Marana Town Council; 2024-08(month): other=denied by Tucson City Council; 2024-12(month): rezoning_planning_commission_recommendation=recommended_approval by Marana Planning and Zoning Commission; 2024-12(month): other=approved by Arizona Corporation Commission; 2024-12-24(day): land_purchased=approved by Humphrey's Peak Properties LLC / Beale Infrastructure; 2024-12-24(day): rezoning_council_decision=approved by Pima County Board of Supervisors; 2024-12-24(day): land_purchased=approved by Pima County Board of Supervisors; 2025-01(month): lawsuit_filed=filed by Arizona Attorney General Kris Mayes; 2025-01-07(day): public_hearing_held=n_a by Marana Town Council; 2025-01-07(day): rezoning_council_decision=approved by Marana Town Council
Amazon Data Center,Mesa,AZ,Maricopa,33.29757,-111.607,Proposed,,Amazon,2,2021-12,2023-09-27,land_purchased|project_announced,2021-12(month): land_purchased=n_a by Amazon; 2023-09-27(day): project_announced=filed by Amazon
Amazon Data Center,Mesa,AZ,Maricopa,33.34263,-111.604,Proposed,,Amazon,2,2021-12,2023-09-27,land_purchased|project_announced,2021-12(month): land_purchased=n_a by Amazon; 2023-09-27(day): project_announced=filed by Amazon
Apple Data Center,Mesa,AZ,Maricopa,33.3471,-111.604,Operating,,,1,2023-09-27,2023-09-27,fully_operational,2023-09-27(day): fully_operational=n_a by Apple
Meta Data Center,Mesa,AZ,Maricopa,33.35076,-111.67,Approved/Permitted/Under construction,,Meta,0,,,,
NTT Data Center,Mesa,AZ,Maricopa,33.35061,-111.61,Operating,240,,8,2020-08,2026-01,fully_operational|land_purchased|other|project_announced,2020-08(month): project_announced=n_a by NTT Global Data Centers; 2021-07(month): other=n_a by NTT Global Data Centers; 2023-11(month): project_announced=planned by NTT Global Data Centers; 2024-09(month): other=approved by Mesa City Council; 2025(year): fully_operational=n_a by NTT Global Data Centers; 2025(year): other=planned by NTT Global Data Centers; 2025-03-28(day): land_purchased=n_a by NTT Global Data Centers; 2026-01(month): other=filed by NTT Global Data Centers
NTT Data Center,Mesa,AZ,Maricopa,33.29556,-111.614,Approved/Permitted/Under construction,200,NTT Global Data Centers,8,2020-08,2026-01,fully_operational|land_purchased|other|project_announced,2020-08(month): project_announced=n_a by NTT Global Data Centers; 2021-07(month): other=n_a by NTT Global Data Centers; 2023-11(month): project_announced=planned by NTT Global Data Centers; 2024-09(month): other=approved by Mesa City Council; 2025(year): fully_operational=n_a by NTT Global Data Centers; 2025(year): other=planned by NTT Global Data Centers; 2025-03-28(day): land_purchased=n_a by NTT Global Data Centers; 2026-01(month): other=filed by NTT Global Data Centers
Page Data Center,Page,AZ,Coconino,36.898376,-111.483154,Proposed,,Huntley LLC,5,2025-09,2025-11,land_purchased|other|project_announced|public_hearing_held|rezoning_council_decision,2025-09(month): project_announced=n_a by Huntley LLC / Rooskey; 2025-09(month): public_hearing_held=n_a by Page City Council; 2025-10(month): rezoning_council_decision=approved by Page City Council; 2025-10(month): land_purchased=in_progress by Huntley LLC; 2025-11(month): other=in_progress by Page residents
Aligned,Phoenix,AZ,Maricopa,33.65898,-112.111,Operating,180,,5,2017,2022-10-12,construction_started|fully_operational|land_purchased|project_announced,2017(year): fully_operational=n_a by Aligned Data Centers; 2018(year): construction_started=n_a by Aligned Data Centers; 2022-03(month): project_announced=planned by Aligned Data Centers; 2022-10(month): land_purchased=n_a by Aligned Data Centers; 2022-10-12(day): project_announced=planned by Aligned Data Centers
Expedient Data Center,Phoenix,AZ,Maricopa,33.56452,-112.112,Operating,2.4,Expedient,2,2021-10,2021-11-02,fully_operational|land_purchased,2021-10(month): land_purchased=approved by Five 9s Digital; 2021-11-02(day): fully_operational=n_a by Expedient
PHX1,Phoenix,AZ,Maricopa,33.56456,-112.112,Operating,3.6,,1,2025,2025,fully_operational,2025(year): fully_operational=n_a by Expedient
QTS,Phoenix,AZ,Maricopa,33.45193,-112.072,Operating,32,QTS Data Centers,4,2022,2023-05-18,construction_started|fully_operational|land_purchased|project_announced,2022(year): land_purchased=n_a by QTS Realty Trust; 2023-03-21(day): construction_started=n_a by QTS Data Centers; 2023-05-18(day): project_announced=n_a by QTS Data Centers; 2023-05-18(day): fully_operational=n_a by QTS Data Centers
QTS,Phoenix,AZ,Maricopa,33.46237,-111.996,Operating,42,QTS Data Centers,4,2022,2023-05-18,construction_started|fully_operational|land_purchased|project_announced,2022(year): land_purchased=n_a by QTS Realty Trust; 2023-03-21(day): construction_started=n_a by QTS Data Centers; 2023-05-18(day): project_announced=n_a by QTS Data Centers; 2023-05-18(day): fully_operational=n_a by QTS Data Centers
Tract Phoenix Data Center,Phoenix,AZ,Maricopa,33.41019,-112.713,Approved/Permitted/Under construction,,Tract Data Centers,3,2024-08-28,2024-08-28,land_purchased|other|project_announced,2024-08-28(day): project_announced=n_a by Tract Data Centers; 2024-08-28(day): land_purchased=n_a by Tract Data Centers; 2024-08-28(day): other=in_progress by Tract Data Centers / local utility
Vermaland Data Center,Red Rock,AZ,Pinal,32.55145,-111.452,Proposed,">3,000",Vermaland LLC,1,2025-07-30,2025-07-30,project_announced,2025-07-30(day): project_announced=n_a by Vermaland LLC
Arizona Land Consulting Co.,Tonopah,AZ,Maricopa,33.49648,-112.775,Proposed,1500,,3,2025-03,2025-05-27,land_purchased|other|project_announced,2025-03(month): other=n_a by Arizona Land Consulting; 2025-05(month): land_purchased=n_a by Arizona Land Consulting; 2025-05-27(day): project_announced=n_a by Arizona Land Consulting
Project Blue (version 1),Tucson,AZ,Pima,32.05091,-110.783,Cancelled,,Beale Infrastructure,8,2025,2026,construction_started|land_purchased|other|project_announced|project_cancelled|rezoning_applied|rezoning_council_decision,2025(year): rezoning_applied=filed by Beale Infrastructure; 2025(year): rezoning_council_decision=denied by Tucson City Council; 2025(year): project_cancelled=halted by Tucson City Council; 2025-06(month): land_purchased=approved by Beale Infrastructure; 2025-06-18(day): rezoning_council_decision=approved by Pima County Board of Supervisors; 2025-06-19(day): project_announced=n_a by Beale Infrastructure; 2025-12(month): other=approved by Arizona Corporation Commission; 2026(year): construction_started=planned by Beale Infrastructure
Data center: Davis-Monthan Air Force Base,Tucson,AZ,Pima,32.164318,-110.86484,Proposed,,,4,2025-03,2026-01-26,other|project_announced,2025-03(month): other=filed by US Department of the Air Force; 2025-10-15(day): other=filed by US Department of the Air Force; 2025-10-16(day): project_announced=n_a by US Department of the Air Force; 2026-01-26(day): other=n_a by US Energy Information Administration
"Aligned: PHX-13, PHX-12, PHX-14. PHX-07",Waddell,AZ,Maricopa,33.56351,-112.388,Approved/Permitted/Under construction,,Aligned Data Centers,5,2024-10,2025-04-17,construction_started|land_purchased|other|project_announced,2024-10(month): land_purchased=approved by Aligned Data Centers; 2024-12(month): land_purchased=approved by Aligned Data Centers; 2025(year): other=planned by Aligned Data Centers; 2025-04-17(day): construction_started=n_a by Aligned Data Centers; 2025-04-17(day): project_announced=n_a by Aligned Data Centers
"Takanock Data Center ""Project Baccara""",Waddell,AZ,Maricopa,33.56755,-112.37177,Proposed,700,DigitalBridge,8,2026,2026-05,air_permit_applied|construction_started|other|project_announced|public_hearing_held|rezoning_council_decision|rezoning_planning_commission_recommendation|special_use_permit_applied,2026(year): construction_started=planned by Takanock; 2026-01-19(day): project_announced=n_a by Takanock / DigitalBridge; 2026-01-19(day): other=filed by Takanock; 2026-01-19(day): air_permit_applied=filed by Takanock; 2026-04-09(day): public_hearing_held=n_a by Maricopa County Planning and Zoning Commission; 2026-04-09(day): rezoning_planning_commission_recommendation=recommended_approval by Maricopa County Planning and Zoning Commission; 2026-04-13(day): special_use_permit_applied=in_progress by Takanock; 2026-05(month): rezoning_council_decision=planned by Maricopa County Board of Supervisors
Guadalupe Quarry Redevelopment Project Data Center,Brisbane,CA,San Mateo,37.68586,-122.416,Proposed,,,6,2021-07,2025-07-25,other|project_announced|public_hearing_held|state_environmental_review_decision|state_environmental_review_initiated,2021-07(month): project_announced=filed by Orchard Partners LLC; 2021-07(month): state_environmental_review_initiated=in_progress by City of Brisbane; 2025-01(month): public_hearing_held=n_a by City of Brisbane; 2025-04-23(day): public_hearing_held=n_a by Orchard Partners LLC; 2025-07-25(day): other=n_a by Orchard Partners LLC; 2025-07-25(day): state_environmental_review_decision=in_progress by City of Brisbane
Data center: Edwards Air Force Base (7 sites),Edwards,CA,Kern,34.912052,-117.93109,Proposed,,,2,2025-10-15,2025-11-14,other,2025-10-15(day): other=filed by US Department of the Air Force; 2025-11-14(day): other=planned by US Department of the Air Force
Imperial Data Center Project,Imperial,CA,Imperial,32.81923,-115.56083,Approved/Permitted/Under construction,330,"Imperial Valley Computer Manufacturing, LLC",11,2025,2027-01,lawsuit_filed|other|project_announced|public_hearing_held|rezoning_planning_commission_recommendation,"2025(year): project_announced=n_a by Imperial Valley Computer Manufacturing, LLC; 2025(year): other=filed by Imperial Valley Computer Manufacturing, LLC; 2025(year): rezoning_planning_commission_recommendation=recommended_denial by Imperial County Planning Commission; 2025-12(month): other=denied by Imperial County; 2026(year): other=n_a by Imperial Valley Computer Manufacturing, LLC; 2026-01(month): lawsuit_filed=filed by City of Imperial; 2026-01(month): public_hearing_held=n_a by Imperial County; 2026-01-12(day): other=filed by Imperial Valley Computer Manufacturing, LLC; 2026-01-21(day): other=in_progress by Imperial County; 2026-04-07(day): other=approved by Imperial County Board of Supervisors; 2027-01(month): other=planned by Imperial Irrigation District"
AWS Gilroy,Gilroy,CA,Santa Clara,37.018684,-121.56053,Approved/Permitted/Under construction,49-98,Amazon,4,2020,2025-12-11,building_permit_issued|land_purchased|other|project_announced,2020(year): land_purchased=n_a by Amazon Data Services; 2022(year): project_announced=n_a by Amazon Data Services; 2025-07-03(day): other=approved by Gilroy Community Development Director (Sharon Goei); 2025-12-11(day): building_permit_issued=approved by City of Gilroy
Buena Vista Biomass Power site Data Center,Ione,CA,Amador,38.277733,-120.91554,Proposed,41,,4,2025,2026-02,land_purchased|other|power_purchase_agreement_signed|project_announced,2025(year): power_purchase_agreement_signed=approved by NewYork GreenCloud / Atlas Cloud AI; 2026-01-19(day): land_purchased=approved by NewYork GreenCloud; 2026-01-19(day): project_announced=n_a by NewYork GreenCloud; 2026-02(month): other=planned by NewYork GreenCloud
ECL,Mountain View,CA,Santa Clara,37.39589,-122.047,Operating,,,1,<UNKNOWN>,<UNKNOWN>,fully_operational,<UNKNOWN>(year): fully_operational=n_a by unknown
Sacramento EdgeConneX Edge Data Center (EDC) (SAC01),Rancho Cordoba,CA,Sacramento,38.59231,-121.277,Operating,1.5-3,,1,2025,2025,fully_operational,2025(year): fully_operational=n_a by EdgeConneX
Equinix,San Jose,CA,Santa Clara,37.23319,-121.78072,Approved/Permitted/Under construction,40,Equinix,3,2024-04,2026-01-22,fully_operational|other|project_announced,2024-04(month): project_announced=n_a by Equinix; 2025(year): other=approved by PG&E / City of San Jose; 2026-01-22(day): fully_operational=n_a by Equinix
LBA Realty Data Center,San Jose,CA,Santa Clara,37.381,-121.935,Proposed,,,3,2025-07-08,2025-07-08,other|project_announced|site_plan_applied,2025-07-08(day): project_announced=planned by LBA Realty; 2025-07-08(day): site_plan_applied=filed by LBA Realty; 2025-07-08(day): other=planned by PG&E
Prologis,San Jose,CA,Santa Clara,37.423885,-121.94313,Proposed,396,Prologis,3,2025-11,2025-11-21,other|project_announced|rezoning_council_decision,2025-11(month): rezoning_council_decision=approved by San Jose City Council; 2025-11(month): other=recommended_approval by San Jose City Staff; 2025-11-21(day): project_announced=n_a by Prologis
Colovore,Santa Clara,CA,Santa Clara,37.37668,-121.953,Operating,,,7,2014,other_info,fully_operational|other|project_announced,2014(year): project_announced=n_a by Colovore; 2014(year): fully_operational=n_a by Colovore; 2022-02(month): other=n_a by Colovore; 2022-11(month): project_announced=n_a by Colovore; 2024(year): other=n_a by Colovore; 2024-12(month): fully_operational=planned by Colovore; other_info(year): other=n_a by Colovore
Colovore,Santa Clara,CA,Santa Clara,37.37739,-121.953,Operating,,,7,2014,other_info,fully_operational|other|project_announced,2014(year): project_announced=n_a by Colovore; 2014(year): fully_operational=n_a by Colovore; 2022-02(month): other=n_a by Colovore; 2022-11(month): project_announced=n_a by Colovore; 2024(year): other=n_a by Colovore; 2024-12(month): fully_operational=planned by Colovore; other_info(year): other=n_a by Colovore
CoreSite SV9,Santa Clara,CA,Santa Clara,37.37492,-121.969,Proposed,34,,3,2022-03,2025-07,construction_started|fully_operational|rezoning_council_decision,2022-03(month): rezoning_council_decision=approved by City of Santa Clara; 2023(year): construction_started=n_a by CoreSite; 2025-07(month): fully_operational=n_a by CoreSite
Digital Realty SJC14,Santa Clara,CA,Santa Clara,37.37578,-121.95516,Proposed,9,Digital Realty,0,,,,
Digital Realty SJC37 Data Center,Santa Clara,CA,Santa Clara,37.371067,-121.94693,Approved/Permitted/Under construction,100,Digital Realty,1,<UNKNOWN>,<UNKNOWN>,fully_operational,<UNKNOWN>(year): fully_operational=n_a by Digital Realty
EdgeCore Data Center,Santa Clara,CA,Santa Clara,37.38413,-121.965744,Operating,72,EdgeCore,2,2023-01,2025-09,construction_started|fully_operational,2023-01(month): construction_started=n_a by EdgeCore; 2025-09(month): fully_operational=n_a by EdgeCore
Santa Clara EdgeConneX Edge Data Center (EDC) - SVC01,Santa Clara,CA,Santa Clara,37.36431,-121.959,Operating,,,2,2025,2025,fully_operational|other,2025(year): fully_operational=n_a by EdgeConneX; 2025(year): other=approved by U.S. Environmental Protection Agency
Nautilus Data Technology,Stockton,CA,San Joaquin,37.96411,-121.369,Operating,,,2,2025-03-11,2025-03-11,fully_operational|project_announced,2025-03-11(day): project_announced=n_a by Cerebras Systems; 2025-03-11(day): fully_operational=n_a by Cerebras Systems
Cerebras Systems Data Center,Sunnyvale,CA,Santa Clara,37.38112,-121.993,Operating,,,2,2025-03-11,2025-03-11,fully_operational|project_announced,2025-03-11(day): project_announced=n_a by Cerebras Systems; 2025-03-11(day): fully_operational=n_a by Cerebras Systems
Digital Data Center,Vernon,CA,Los Angeles,34.00368,-118.229675,Proposed,32,California Digital Realty,2,2025-11,2025-11-06,land_purchased|project_announced,2025-11(month): land_purchased=n_a by Digital Realty; 2025-11-06(day): project_announced=n_a by Digital Realty
DEN1,Centennial,CO,Arapahoe,39.58275,-104.841,Operating,1.6,,1,<UNKNOWN>,<UNKNOWN>,fully_operational,<UNKNOWN>(year): fully_operational=n_a by Expedient
Data center,Colorado Springs,CO,El Paso,38.99734,-104.792,Operating,3,Flexential,1,2024,2024,fully_operational,2024(year): fully_operational=n_a by Flexential
CoreSite DE1 Data Center,Denver,CO,Denver,39.74566,-104.99561,Operating,,CoreSite,2,2025-10-06,2025-10-06,fully_operational|other,2025-10-06(day): other=n_a by CoreSite; 2025-10-06(day): fully_operational=n_a by CoreSite
CoreSite DE2 Data Center,Denver,CO,Denver,39.745472,-104.97931,Operating,,CoreSite,1,2025-10-06,2025-10-06,fully_operational,2025-10-06(day): fully_operational=n_a by CoreSite
CoreSite DE3 Data Center,Elyria-Swansea (Denver),CO,Denver,39.785824,-104.962845,Approved/Permitted/Under construction,75,CoreSite,3,2025,2026,construction_started|other|site_plan_approved,2025(year): construction_started=in_progress by CoreSite; 2025-03(month): site_plan_approved=approved by Denver Community Planning and Development; 2026(year): other=planned by CoreSite
Cielo Digital Infrastructure,Hudson,CO,Weld,40.09549,-104.609,Proposed,750,,1,2025-06-24,2025-06-24,project_announced,2025-06-24(day): project_announced=planned by Cielo Digital Infrastructure
Atlas Capital Group,Bloomfield,CT,Hartford,41.88474,-72.7435,Proposed,,,3,2025-06,2025-07-12,other|project_announced|public_hearing_held,2025-06(month): public_hearing_held=n_a by Bloomfield Planning and Zoning Commission; 2025-07(month): other=planned by Atlas Capital Group; 2025-07-12(day): project_announced=filed by Atlas Capital Group
GotSpace Data Center,Bozrah,CT,New London,41.5586,-72.1706,Proposed,,,2,2022-08,2025-07-15,other|project_announced,2022-08(month): project_announced=n_a by NE Edge / GotSpace Data Partners; 2025-07-15(day): other=n_a by NE Edge
NE Edge Data Center,Waterford,CT,New London,41.31387,-72.1673,Proposed,1500,,1,2023-02,2023-02,other,2023-02(month): other=filed by NE Edge
Starwood Digital Ventures,New Castle,DE,New Castle,39.60745,-75.6397,Suspended,1200,,8,2025,2028,appeals_court_ruling|conditional_use_permit_applied|construction_started|partial_operational|project_announced|project_suspended|state_environmental_review_decision,2025(year): state_environmental_review_decision=denied by Delaware environmental authority; 2025(year): appeals_court_ruling=n_a by Starwood Digital Ventures; 2025-07-11(day): project_announced=n_a by Starwood Digital Ventures; 2025-07-11(day): conditional_use_permit_applied=filed by Starwood Digital Ventures / New Castle Campus Development LLC; 2026(year): construction_started=planned by Starwood Digital Ventures; 2026-03-26(day): appeals_court_ruling=upheld by Delaware State Board; 2026-03-26(day): project_suspended=halted by Starwood Digital Ventures; 2028(year): partial_operational=planned by Starwood Digital Ventures
Data center,Fort Meade,FL,Polk,27.79178,-81.8185,Approved/Permitted/Under construction,,,5,2025,2026-04,other|rezoning_applied|rezoning_council_decision|site_plan_approved|water_permit_applied,2025(year): rezoning_applied=filed by Bohler Places LLC; 2025-06-10(day): rezoning_council_decision=approved by Fort Meade City Commission; 2026-04(month): site_plan_approved=approved by Fort Meade City Commission; 2026-04(month): other=approved by Fort Meade City Commission; 2026-04(month): water_permit_applied=in_progress by Southwest Florida Water Management District
"Sentinel Grove Technology Park/ ""Project Jarvis""",Fort Pierce,FL,St Lucie,27.45444,-80.55799,Suspended,1000,,5,2024-07,2025-10-22,land_purchased|project_announced|project_suspended|public_hearing_held|rezoning_planning_commission_recommendation,2024-07(month): land_purchased=n_a by Epic Estates 68 LLC; 2025-10-16(day): project_announced=n_a by Timberline Real Estate Partners / HJA Design Studios; 2025-10-16(day): public_hearing_held=n_a by St. Lucie County Planning and Zoning Commission; 2025-10-16(day): rezoning_planning_commission_recommendation=recommended_denial by St. Lucie County Planning and Zoning Commission; 2025-10-22(day): project_suspended=halted by Timberline Real Estate Partners
Cielo Digital Infrastructure,Haines City,FL,Polk,28.17875,-81.6457,Proposed,300,,1,2025-06-24,2025-06-24,project_announced,2025-06-24(day): project_announced=planned by Cielo Digital Infrastructure
Project Tango,Loxahatchee,FL,Palm Beach,26.694838,-80.37178,Approved/Permitted/Under construction,,,5,2016,2025-12-11,conditional_use_permit_applied|other|public_hearing_held|rezoning_planning_commission_recommendation,2016(year): other=approved by Palm Beach County; 2025(year): conditional_use_permit_applied=filed by PBA Holdings; 2025-12(month): rezoning_planning_commission_recommendation=recommended_approval by Palm Beach County Zoning Commission; 2025-12(month): other=n_a by Local residents; 2025-12-11(day): public_hearing_held=n_a by Palm Beach County
HostDime Data Center,Maitland,FL,Orange,28.6146,-81.3857,Proposed,,,5,2016,2025-09-03,construction_started|other|rezoning_council_decision,2016(year): rezoning_council_decision=approved by Town of Eatonville; 2021(year): construction_started=n_a by HostDime; 2024-06(month): other=approved by Town of Eatonville; 2025-07(month): other=approved by Town of Eatonville; 2025-09-03(day): other=filed by HostDime
Iron Mountain Data Center,Miami,FL,Miami-Dade,25.88661,-80.2539,Approved/Permitted/Under construction,16,,4,2023-11,2026,construction_started|fully_operational|other|project_announced,2023-11(month): project_announced=n_a by Iron Mountain; 2025-02(month): construction_started=n_a by Iron Mountain; 2025-08-08(day): other=n_a by Iron Mountain; 2026(year): fully_operational=planned by Iron Mountain
Dixon Data Center/Project Sassy,Adairsville,GA,Floyd,34.37998,-85.034,Proposed,200,Atlas Development,4,2025-01,2025-02-25,other|project_announced|rezoning_applied|rezoning_planning_commission_recommendation,2025-01(month): project_announced=n_a by Atlas Development; 2025-02(month): rezoning_applied=filed by Atlas Development; 2025-02(month): other=filed by Atlas Development; 2025-02-25(day): rezoning_planning_commission_recommendation=planned by Floyd County Planning Commission
Project Springbank,Adairsville,GA,Bartow,34.30926,-84.9633,Cancelled,78,Atlas Development,3,2025,2025-02-17,other|project_announced|project_withdrawn,2025(year): project_withdrawn=withdrawn by Atlas Development LLC; 2025-02-17(day): other=filed by Atlas Development LLC; 2025-02-17(day): project_announced=n_a by Atlas Development LLC
Alpharetta GA1,Alpharetta,GA,Fulton,34.063183,-84.272896,Operating,4.300000191,365 Data Centers,2,1999,1999,fully_operational|other,1999(year): fully_operational=n_a by 365 Data Centers; 1999(year): other=n_a by 365 Data Centers
AT&T Data Center,Alpharetta,GA,Fulton,34.086502,-84.27612,Operating,11,,3,2002,2026-01-21,fully_operational|other,2002(year): fully_operational=n_a by AT&T; 2006(year): other=n_a by AT&T; 2026-01-21(day): other=n_a by Franklin Street Real Estate / KBC Advisors
ATL2,Alpharetta,GA,Fulton,34.057144,-84.273,Operating,12,Lincoln Rackhouse,4,2017,2025,fully_operational|land_purchased|other,2017(year): other=approved by Ascent; 2018(year): fully_operational=n_a by Ascent; 2022-08(month): land_purchased=n_a by Lincoln Rackhouse; 2025(year): land_purchased=n_a by GI Partners
Atlanta-Alpharetta,Alpharetta,GA,Fulton,34.086994,-84.25179,Operating,6,Flexential,3,2017-08,2019,fully_operational|other,2017-08(month): other=n_a by Peak 10; 2018-01(month): other=n_a by Flexential; 2019(year): fully_operational=n_a by Flexential
